priority_rank,competition_id,problem_id,source_event_id,source_round_id,boulder_number,leaderboard_route_id,event_date,event_name,source_scope,source_url,event_tier,category,round_name,linked_outcomes,linked_athletes,zone_rate,top_rate,rows_with_both_board_metrics,mean_physical_metrics_available,outcome_spread,priority_rule,tag_status
11,CEC|event:172,CEC|event:172|route:15448,172,3261,5,15448,2025-12-11,Sélection Provinciale Séniore BLOC,CEC,/api/v1/category_rounds/3261/results,Regional / local,Sénior Hommes,Qualifications,6,6,0.6666666666666666,0.5,6,11.166666666666666,0.4722222222222222,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
12,CEC|event:192,CEC|event:192|route:17726,192,3655,1,17726,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3655/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,0.6666666666666666,0.6666666666666666,5,10.0,0.4444444444444445,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
13,CEC|event:153,CEC|event:153|route:13973,153,2845,4,13973,2025-11-08,D1 Bloc #1 Délire Ste-Foy,CEC,/api/v1/category_rounds/2845/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,0.5,6,10.0,0.25,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
14,CEC|event:123,CEC|event:123|route:9706,123,2301,2,9706,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2301/results,National championship youth,U19 Male,Qualification,6,6,1.0,0.5,6,8.333333333333334,0.25,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
15,CEC|event:123,CEC|event:123|route:9710,123,2301,6,9710,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2301/results,National championship youth,U19 Male,Qualification,6,6,0.5,0.0,6,8.333333333333334,0.25,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
16,CEC|event:172,CEC|event:172|route:15446,172,3261,3,15446,2025-12-11,Sélection Provinciale Séniore BLOC,CEC,/api/v1/category_rounds/3261/results,Regional / local,Sénior Hommes,Qualifications,6,6,0.6666666666666666,0.0,6,11.166666666666666,0.22222222222222224,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
17,CEC|event:153,CEC|event:153|route:13970,153,2845,1,13970,2025-11-08,D1 Bloc #1 Délire Ste-Foy,CEC,/api/v1/category_rounds/2845/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,0.6666666666666666,0.0,6,10.0,0.22222222222222224,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
18,CEC|event:153,CEC|event:153|route:13974,153,2845,5,13974,2025-11-08,D1 Bloc #1 Délire Ste-Foy,CEC,/api/v1/category_rounds/2845/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,0.6666666666666666,6,10.0,0.22222222222222224,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
19,CEC|event:211,CEC|event:211|route:19824,211,4050,3,19824,2026-03-21,Championnat Provincial D1 Bloc,CEC,/api/v1/category_rounds/4050/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,0.6666666666666666,0.0,5,10.0,0.22222222222222224,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
20,CEC|event:211,CEC|event:211|route:19826,211,4050,5,19826,2026-03-21,Championnat Provincial D1 Bloc,CEC,/api/v1/category_rounds/4050/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,0.6666666666666666,0.0,5,10.0,0.22222222222222224,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
21,CEC|event:172,CEC|event:172|route:15445,172,3261,2,15445,2025-12-11,Sélection Provinciale Séniore BLOC,CEC,/api/v1/category_rounds/3261/results,Regional / local,Sénior Hommes,Qualifications,6,6,1.0,0.16666666666666666,6,11.166666666666666,0.1388888888888889,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
22,CEC|event:211,CEC|event:211|route:19823,211,4050,2,19823,2026-03-21,Championnat Provincial D1 Bloc,CEC,/api/v1/category_rounds/4050/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,0.16666666666666666,5,10.0,0.1388888888888889,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
23,CEC|event:192,CEC|event:192|route:17730,192,3655,5,17730,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3655/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,0.16666666666666666,5,10.0,0.1388888888888889,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
24,CEC|event:172,CEC|event:172|route:15447,172,3261,4,15447,2025-12-11,Sélection Provinciale Séniore BLOC,CEC,/api/v1/category_rounds/3261/results,Regional / local,Sénior Hommes,Qualifications,6,6,1.0,0.8333333333333334,6,11.166666666666666,0.13888888888888887,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
25,CEC|event:211,CEC|event:211|route:19825,211,4050,4,19825,2026-03-21,Championnat Provincial D1 Bloc,CEC,/api/v1/category_rounds/4050/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,0.8333333333333334,5,10.0,0.13888888888888887,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
26,CEC|event:172,CEC|event:172|route:15444,172,3261,1,15444,2025-12-11,Sélection Provinciale Séniore BLOC,CEC,/api/v1/category_rounds/3261/results,Regional / local,Sénior Hommes,Qualifications,6,6,1.0,1.0,6,11.166666666666666,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
27,CEC|event:153,CEC|event:153|route:13971,153,2845,2,13971,2025-11-08,D1 Bloc #1 Délire Ste-Foy,CEC,/api/v1/category_rounds/2845/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,1.0,6,10.0,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
28,CEC|event:153,CEC|event:153|route:13972,153,2845,3,13972,2025-11-08,D1 Bloc #1 Délire Ste-Foy,CEC,/api/v1/category_rounds/2845/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,0.0,0.0,6,10.0,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
29,CEC|event:123,CEC|event:123|route:9707,123,2301,3,9707,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2301/results,National championship youth,U19 Male,Qualification,6,6,1.0,1.0,6,8.333333333333334,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
30,CEC|event:123,CEC|event:123|route:9708,123,2301,4,9708,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2301/results,National championship youth,U19 Male,Qualification,6,6,1.0,1.0,6,8.333333333333334,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
31,CEC|event:123,CEC|event:123|route:9709,123,2301,5,9709,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2301/results,National championship youth,U19 Male,Qualification,6,6,1.0,1.0,6,8.333333333333334,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
32,CEC|event:192,CEC|event:192|route:17727,192,3655,2,17727,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3655/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,1.0,5,10.0,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
33,CEC|event:192,CEC|event:192|route:17728,192,3655,3,17728,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3655/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,1.0,5,10.0,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
34,CEC|event:192,CEC|event:192|route:17729,192,3655,4,17729,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3655/results,Regional / local youth,Juvénile A hommes,Qualifications,6,6,1.0,1.0,5,10.0,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
35,CEC|event:123,CEC|event:123|route:9740,123,2328,4,9740,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2328/results,National championship youth,U19 Male,Semi-Finals,5,5,0.6,0.6,5,8.6,0.48,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
36,CEC|event:89,CEC|event:89|route:7008,89,1707,2,7008,2024-11-21,2024-2025 Senior National Championships,CEC,/api/v1/category_rounds/1707/results,National championship,Men,Qualification,5,5,0.8,0.6,5,7.4,0.39999999999999997,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
37,CEC|event:211,CEC|event:211|route:19822,211,4050,1,19822,2026-03-21,Championnat Provincial D1 Bloc,CEC,/api/v1/category_rounds/4050/results,Regional / local youth,Juvénile A hommes,Qualifications,5,5,0.8,0.6,4,10.2,0.39999999999999997,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
38,CEC|event:157,CEC|event:157|route:13771,157,2978,3,13771,2026-02-12,2025-2026 Senior National Championships,CEC,/api/v1/category_rounds/2978/results,National championship,Men,Qualification,5,5,1.0,0.4,5,11.2,0.24,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
39,CEC|event:157,CEC|event:157|route:13772,157,2978,4,13772,2026-02-12,2025-2026 Senior National Championships,CEC,/api/v1/category_rounds/2978/results,National championship,Men,Qualification,5,5,0.4,0.0,5,11.2,0.24,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
40,CEC|event:123,CEC|event:123|route:9739,123,2328,3,9739,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2328/results,National championship youth,U19 Male,Semi-Finals,5,5,1.0,0.6,5,8.6,0.24,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
41,CEC|event:89,CEC|event:89|route:7009,89,1707,3,7009,2024-11-21,2024-2025 Senior National Championships,CEC,/api/v1/category_rounds/1707/results,National championship,Men,Qualification,5,5,0.6,0.0,5,7.4,0.24,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
42,CEC|event:89,CEC|event:89|route:7012,89,1707,6,7012,2024-11-21,2024-2025 Senior National Championships,CEC,/api/v1/category_rounds/1707/results,National championship,Men,Qualification,5,5,1.0,0.4,5,7.4,0.24,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
43,CEC|event:89,CEC|event:89|route:7011,89,1707,5,7011,2024-11-21,2024-2025 Senior National Championships,CEC,/api/v1/category_rounds/1707/results,National championship,Men,Qualification,5,5,1.0,0.2,5,7.4,0.16000000000000003,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
44,CEC|event:157,CEC|event:157|route:13770,157,2978,2,13770,2026-02-12,2025-2026 Senior National Championships,CEC,/api/v1/category_rounds/2978/results,National championship,Men,Qualification,5,5,0.8,0.0,5,11.2,0.15999999999999998,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
45,CEC|event:123,CEC|event:123|route:9738,123,2328,2,9738,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2328/results,National championship youth,U19 Male,Semi-Finals,5,5,1.0,0.8,5,8.6,0.15999999999999998,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
46,CEC|event:89,CEC|event:89|route:7007,89,1707,1,7007,2024-11-21,2024-2025 Senior National Championships,CEC,/api/v1/category_rounds/1707/results,National championship,Men,Qualification,5,5,1.0,0.8,5,7.4,0.15999999999999998,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
47,CEC|event:157,CEC|event:157|route:13769,157,2978,1,13769,2026-02-12,2025-2026 Senior National Championships,CEC,/api/v1/category_rounds/2978/results,National championship,Men,Qualification,5,5,1.0,1.0,5,11.2,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
48,CEC|event:157,CEC|event:157|route:13773,157,2978,5,13773,2026-02-12,2025-2026 Senior National Championships,CEC,/api/v1/category_rounds/2978/results,National championship,Men,Qualification,5,5,1.0,1.0,5,11.2,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
49,CEC|event:157,CEC|event:157|route:13774,157,2978,6,13774,2026-02-12,2025-2026 Senior National Championships,CEC,/api/v1/category_rounds/2978/results,National championship,Men,Qualification,5,5,1.0,1.0,5,11.2,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
50,CEC|event:123,CEC|event:123|route:9705,123,2301,1,9705,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2301/results,National championship youth,U19 Male,Qualification,5,5,1.0,1.0,5,8.6,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
51,CEC|event:123,CEC|event:123|route:9737,123,2328,1,9737,2025-05-15,2024-2025 Youth Boulder National Championships (Boulder & Lead),CEC,/api/v1/category_rounds/2328/results,National championship youth,U19 Male,Semi-Finals,5,5,1.0,1.0,5,8.6,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
52,CEC|event:89,CEC|event:89|route:7010,89,1707,4,7010,2024-11-21,2024-2025 Senior National Championships,CEC,/api/v1/category_rounds/1707/results,National championship,Men,Qualification,5,5,0.0,0.0,5,7.4,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
53,CEC|event:192,CEC|event:192|route:17862,192,3681,1,17862,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3681/results,Regional / local youth,Juvénile A hommes,Finales,4,4,0.75,0.5,4,11.0,0.4375,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
54,CEC|event:217,CEC|event:217|route:20937,217,4176,4,20937,2026-04-18,Youth Eastern Regionals 25/26,CEC,/api/v1/category_rounds/4176/results,Regional / local youth,U19 Male,Qualification,4,4,0.5,0.25,1,7.5,0.4375,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
55,CEC|event:224,CEC|event:224|route:23259,224,4457,4,23259,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4457/results,National championship youth,U19 Male,Finals,4,4,0.75,0.25,1,8.5,0.375,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
56,CEC|event:192,CEC|event:192|route:17863,192,3681,2,17863,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3681/results,Regional / local youth,Juvénile A hommes,Finales,4,4,1.0,0.5,4,11.0,0.25,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
57,CEC|event:224,CEC|event:224|route:23256,224,4457,1,23256,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4457/results,National championship youth,U19 Male,Finals,4,4,1.0,0.5,1,8.5,0.25,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
58,CEC|event:217,CEC|event:217|route:20934,217,4176,1,20934,2026-04-18,Youth Eastern Regionals 25/26,CEC,/api/v1/category_rounds/4176/results,Regional / local youth,U19 Male,Qualification,4,4,0.5,0.0,1,7.5,0.25,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
59,CEC|event:217,CEC|event:217|route:20938,217,4176,5,20938,2026-04-18,Youth Eastern Regionals 25/26,CEC,/api/v1/category_rounds/4176/results,Regional / local youth,U19 Male,Qualification,4,4,1.0,0.5,1,7.5,0.25,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
60,CEC|event:121,CEC|event:121|route:9530,121,2234,3,9530,2025-05-03,2025 NACS,CEC,/api/v1/category_rounds/2234/results,Continental / cross-border,Men,Qualification,4,4,0.25,0.0,4,8.5,0.1875,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
61,CEC|event:121,CEC|event:121|route:9532,121,2234,5,9532,2025-05-03,2025 NACS,CEC,/api/v1/category_rounds/2234/results,Continental / cross-border,Men,Qualification,4,4,1.0,0.75,4,8.5,0.1875,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
62,CEC|event:224,CEC|event:224|route:23257,224,4457,2,23257,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4457/results,National championship youth,U19 Male,Finals,4,4,1.0,0.25,1,8.5,0.1875,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
63,CEC|event:224,CEC|event:224|route:23258,224,4457,3,23258,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4457/results,National championship youth,U19 Male,Finals,4,4,1.0,0.75,1,8.5,0.1875,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
64,CEC|event:217,CEC|event:217|route:20935,217,4176,2,20935,2026-04-18,Youth Eastern Regionals 25/26,CEC,/api/v1/category_rounds/4176/results,Regional / local youth,U19 Male,Qualification,4,4,1.0,0.75,1,7.5,0.1875,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
65,CEC|event:192,CEC|event:192|route:17864,192,3681,3,17864,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3681/results,Regional / local youth,Juvénile A hommes,Finales,4,4,1.0,1.0,4,11.0,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
66,CEC|event:192,CEC|event:192|route:17865,192,3681,4,17865,2026-01-24,Coupe QC D1 Bloc #2,CEC,/api/v1/category_rounds/3681/results,Regional / local youth,Juvénile A hommes,Finales,4,4,1.0,1.0,4,11.0,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
67,CEC|event:121,CEC|event:121|route:9528,121,2234,1,9528,2025-05-03,2025 NACS,CEC,/api/v1/category_rounds/2234/results,Continental / cross-border,Men,Qualification,4,4,1.0,1.0,4,8.5,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
68,CEC|event:121,CEC|event:121|route:9529,121,2234,2,9529,2025-05-03,2025 NACS,CEC,/api/v1/category_rounds/2234/results,Continental / cross-border,Men,Qualification,4,4,0.0,0.0,4,8.5,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
69,CEC|event:121,CEC|event:121|route:9531,121,2234,4,9531,2025-05-03,2025 NACS,CEC,/api/v1/category_rounds/2234/results,Continental / cross-border,Men,Qualification,4,4,1.0,0.0,4,8.5,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
70,CEC|event:217,CEC|event:217|route:20936,217,4176,3,20936,2026-04-18,Youth Eastern Regionals 25/26,CEC,/api/v1/category_rounds/4176/results,Regional / local youth,U19 Male,Qualification,4,4,1.0,1.0,1,7.5,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
71,CEC|event:217,CEC|event:217|route:20939,217,4176,6,20939,2026-04-18,Youth Eastern Regionals 25/26,CEC,/api/v1/category_rounds/4176/results,Regional / local youth,U19 Male,Qualification,4,4,1.0,1.0,1,7.5,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
72,CEC|event:211,CEC|event:211|route:19895,211,4060,2,19895,2026-03-21,Championnat Provincial D1 Bloc,CEC,/api/v1/category_rounds/4060/results,Regional / local youth,Juvénile A hommes,Finales,3,3,0.6666666666666666,0.6666666666666666,3,11.0,0.4444444444444445,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
73,CEC|event:211,CEC|event:211|route:19896,211,4060,3,19896,2026-03-21,Championnat Provincial D1 Bloc,CEC,/api/v1/category_rounds/4060/results,Regional / local youth,Juvénile A hommes,Finales,3,3,0.6666666666666666,0.3333333333333333,3,11.0,0.4444444444444445,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
