intake_order,review_priority,review_priority_reason,source_record_id,event_id,round,round_order,category_round_id,video_id,official_title,duration_seconds,event,event_date,discipline,gender,category,age_class,official_result_rows,official_channel,official_youtube_url,official_oembed_url,official_event_roster_url,official_round_results_url,official_round_results_api_url,duration_basis,duration_metadata_field,duration_metadata_url,duration_metadata_observed_at_utc,duration_video_details_sha256,metadata_status,metadata_observed_at_utc,acquisition_method,acquisition_status,acquisition_error,planned_local_path,local_path,sha256,review_ready,identity_timing_use
11,11,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10679,1482,Semi-final,1,10679,yo8gSEI_iTM,Men's Boulder semi-final | Innsbruck 2026,10050,World Climbing Series Innsbruck 2026,2026-06-17,Boulder,Men,Boulder Men,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=yo8gSEI_iTM,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dyo8gSEI_iTM&format=json,https://ifsc.results.info/#/event/1482,https://ifsc.results.info/#/event/1482/cr/10679,https://ifsc.results.info/api/v1/category_rounds/10679/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=yo8gSEI_iTM&hl=en,2026-08-01T06:58:30Z,6af218cee359f0fb7ff39b984fa17cb5b1dd20518b63a8c40fd7ca5ea9acda43,Verified by public YouTube oEmbed,2026-08-01T04:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_innsbruck_men_boulder_semi_final_yo8gSEI_iTM.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
12,12,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10681,1482,Final,2,10681,LJFxLkPn_Vc,Men's Boulder final | Innsbruck 2026,8300,World Climbing Series Innsbruck 2026,2026-06-17,Boulder,Men,Boulder Men,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=LJFxLkPn_Vc,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DLJFxLkPn_Vc&format=json,https://ifsc.results.info/#/event/1482,https://ifsc.results.info/#/event/1482/cr/10681,https://ifsc.results.info/api/v1/category_rounds/10681/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=LJFxLkPn_Vc&hl=en,2026-08-01T06:58:30Z,a3c6ab208a14628b2b88cc06f544531c88650e818e3992d6dd2629b74fa93016,Verified by public YouTube oEmbed,2026-08-01T04:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_innsbruck_men_boulder_final_LJFxLkPn_Vc.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
13,13,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10680,1482,Semi-final,1,10680,N17gY0_LeoE,Women's Boulder semi-final | Innsbruck 2026,9995,World Climbing Series Innsbruck 2026,2026-06-17,Boulder,Women,Boulder Women,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=N17gY0_LeoE,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DN17gY0_LeoE&format=json,https://ifsc.results.info/#/event/1482,https://ifsc.results.info/#/event/1482/cr/10680,https://ifsc.results.info/api/v1/category_rounds/10680/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=N17gY0_LeoE&hl=en,2026-08-01T06:58:30Z,9609949dd7db66adf9d1f7d33e3034bc8a3d36dfd0d8779bd7b147dba181c428,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_innsbruck_women_boulder_semi_final_N17gY0_LeoE.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
14,14,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10682,1482,Final,2,10682,l5iURs-VBwM,Women's Boulder final | Innsbruck 2026,8330,World Climbing Series Innsbruck 2026,2026-06-17,Boulder,Women,Boulder Women,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=l5iURs-VBwM,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dl5iURs-VBwM&format=json,https://ifsc.results.info/#/event/1482,https://ifsc.results.info/#/event/1482/cr/10682,https://ifsc.results.info/api/v1/category_rounds/10682/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=l5iURs-VBwM&hl=en,2026-08-01T06:58:30Z,460ddd43030ebf623e35b074a6e02b3b833a9a32906ed19fcf2efb08fa564411,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_innsbruck_women_boulder_final_l5iURs-VBwM.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
15,15,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10659,1524,Semi-final,1,10659,rlFa7Vbms2g,Men's Boulder semi-final | Keqiao 2026,9955,World Climbing Series Keqiao 2026,2026-05-01,Boulder,Men,Boulder Men,Senior / Open,23,World Climbing,https://www.youtube.com/watch?v=rlFa7Vbms2g,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DrlFa7Vbms2g&format=json,https://ifsc.results.info/#/event/1524,https://ifsc.results.info/#/event/1524/cr/10659,https://ifsc.results.info/api/v1/category_rounds/10659/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=rlFa7Vbms2g&hl=en,2026-08-01T06:58:30Z,426500f2f6127da77689c22dc2ad2b98080a8c533ab65f057c1979be757421ce,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_keqiao_men_boulder_semi_final_rlFa7Vbms2g.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
16,16,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10661,1524,Final,2,10661,cpsBa_t-jew,Men's Boulder final | Keqiao 2026,8390,World Climbing Series Keqiao 2026,2026-05-01,Boulder,Men,Boulder Men,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=cpsBa_t-jew,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DcpsBa_t-jew&format=json,https://ifsc.results.info/#/event/1524,https://ifsc.results.info/#/event/1524/cr/10661,https://ifsc.results.info/api/v1/category_rounds/10661/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=cpsBa_t-jew&hl=en,2026-08-01T06:58:30Z,b29d50bebac9f42f99d06f108dbf215bcd294a037f6cc8783f5d6b3611211f49,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_keqiao_men_boulder_final_cpsBa_t-jew.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
17,17,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10660,1524,Semi-final,1,10660,7YH8fBzNSsw,Women's Boulder semi-final | Keqiao 2026,10035,World Climbing Series Keqiao 2026,2026-05-01,Boulder,Women,Boulder Women,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=7YH8fBzNSsw,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D7YH8fBzNSsw&format=json,https://ifsc.results.info/#/event/1524,https://ifsc.results.info/#/event/1524/cr/10660,https://ifsc.results.info/api/v1/category_rounds/10660/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=7YH8fBzNSsw&hl=en,2026-08-01T06:58:30Z,aaed323f9d9a6a52fe2822a5ba45395c00eb2348aa36c47336dce7cf85800a8e,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_keqiao_women_boulder_semi_final_7YH8fBzNSsw.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
18,18,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10662,1524,Final,2,10662,T0pMaC8-6Qw,Women's Boulder final | Keqiao 2026,7930,World Climbing Series Keqiao 2026,2026-05-01,Boulder,Women,Boulder Women,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=T0pMaC8-6Qw,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DT0pMaC8-6Qw&format=json,https://ifsc.results.info/#/event/1524,https://ifsc.results.info/#/event/1524/cr/10662,https://ifsc.results.info/api/v1/category_rounds/10662/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=T0pMaC8-6Qw&hl=en,2026-08-01T06:58:30Z,1b946244abd5186b23325d46b4a16c84d558982e7912c988965d9382c9a17a05,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_keqiao_women_boulder_final_T0pMaC8-6Qw.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
19,19,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10665,1478,Semi-final,1,10665,s0sp2fjWuzU,Men's Boulder semi-final | Bern 2026,9890,World Climbing Series Bern 2026,2026-05-22,Boulder,Men,Boulder Men,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=s0sp2fjWuzU,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Ds0sp2fjWuzU&format=json,https://ifsc.results.info/#/event/1478,https://ifsc.results.info/#/event/1478/cr/10665,https://ifsc.results.info/api/v1/category_rounds/10665/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=s0sp2fjWuzU&hl=en,2026-08-01T06:58:30Z,2d634f933400fe92a1bf5a69592651d5e74bd189c28dd22de6467e9b96a45504,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_bern_men_boulder_semi_final_s0sp2fjWuzU.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
20,20,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10667,1478,Final,2,10667,QVkppNWQFEU,Men's Boulder final | Bern 2026,7410,World Climbing Series Bern 2026,2026-05-22,Boulder,Men,Boulder Men,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=QVkppNWQFEU,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DQVkppNWQFEU&format=json,https://ifsc.results.info/#/event/1478,https://ifsc.results.info/#/event/1478/cr/10667,https://ifsc.results.info/api/v1/category_rounds/10667/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=QVkppNWQFEU&hl=en,2026-08-01T06:58:30Z,abae4b0dd3f67366a6d3e35643540f3b91cbdacf534eb9ffd9d942768b22e323,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_bern_men_boulder_final_QVkppNWQFEU.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
21,21,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10666,1478,Semi-final,1,10666,tfOh2knba6c,Women's Boulder semi-final | Bern 2026,10135,World Climbing Series Bern 2026,2026-05-22,Boulder,Women,Boulder Women,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=tfOh2knba6c,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DtfOh2knba6c&format=json,https://ifsc.results.info/#/event/1478,https://ifsc.results.info/#/event/1478/cr/10666,https://ifsc.results.info/api/v1/category_rounds/10666/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=tfOh2knba6c&hl=en,2026-08-01T06:58:30Z,bfcf29ed9f78f7ec40842f51b9030bcfaced254bca2727146cdca69ded4f58ea,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_bern_women_boulder_semi_final_tfOh2knba6c.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
