pool,age_center_years,age_bin_lower_years,age_bin_upper_years,athletes,observations,median_annual_performance_elo_change,bootstrap_se_annual_performance_elo_change,bootstrap_draws,minimum_athletes,age_assignment_status,source_scope,source_window_start,source_window_end,source_as_of_date,method,status,research_only
Boulder_Women,15,14.5,15.5,256,256,-227.2112523814343,36.24317478282888,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2011-09-10,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,16,15.5,16.5,277,277,-194.8471302274253,42.69918546099901,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2003-07-24,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,17,16.5,17.5,302,302,-152.2630267278729,40.818768037593415,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2004-04-02,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,18,17.5,18.5,302,302,-120.99067919895718,36.79030139504,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2000-05-26,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,19,18.5,19.5,239,239,-162.90513432894423,40.864626418033964,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2001-06-29,2026-07-25,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,20,19.5,20.5,160,160,-226.0706597097027,53.29130539218417,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2002-06-25,2026-07-25,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,21,20.5,21.5,138,138,-120.03644934093059,70.28266242892461,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2003-03-14,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,22,21.5,22.5,118,118,-102.18064885546312,39.853369983116686,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2004-04-02,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,23,22.5,23.5,100,100,-289.18445675629096,52.21525210347993,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2000-05-26,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,24,23.5,24.5,99,99,-147.9434556791562,81.91473947909067,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-07-10,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,25,24.5,25.5,92,92,-147.87526459910055,59.57820276620025,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2001-06-29,2026-07-25,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,26,25.5,26.5,74,74,-221.89065138784684,44.84834487086986,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2000-05-26,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,27,26.5,27.5,48,48,-64.31049389222308,127.59639634014978,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2001-06-29,2026-05-01,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,28,27.5,28.5,42,42,-1.4102071551018631,81.61808330353514,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2002-06-13,2025-09-21,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,29,28.5,29.5,30,30,-152.65136674225158,81.33692831655539,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2003-03-14,2026-05-01,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,30,29.5,30.5,30,30,-153.7869193773029,108.51257964770873,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2004-04-02,2026-05-22,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,31,30.5,31.5,23,23,-218.0536433296317,75.36016318217715,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-07-10,2024-06-26,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
