event_date,event_name,source_scope,event_tier,rating_context,direct_context_head,classification_reason,all_results_update_shared_skill,direct_label_controls_input_eligibility
1996-06-24,"UIAA Masters - ESPN X-Games - Newport, USA 1996",IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1996-06-28,European Youth Cup - Ravenna (ITA) 1996,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1996-07-24,UIAA Masters - Serre Chevalier 1996,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1996-08-24,Bündnermeisterschaften 96,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-08-31,Swiss-Cup Mendrisio 96,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-09-06,UIAA Masters - Rock Masters Arco 1996,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1996-09-13,European Youth Cup - Skofja Loka (SLO) 1996,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1996-09-18,UIAA Worldcup - Ekaterinburg 1996,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1996-09-27,European Youth Cup - Bern (SUI) 1996,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1996-10-25,European Youth Cup - Prag (CZE) 1996,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1996-11-08,Regionalwettkampf St. Légier,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-11-09,Regionalwettkampf Herisau,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-11-16,Swiss-Cup Fribourg,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-11-23,UIAA Worldcup - Kranj 1996,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1996-11-30,Swiss Cup Bern 96,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-12-14,UIAA Worldcup - Graz 1996,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1997-01-31,UIAA World Championchip - Paris 1997,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1997-04-26,Championnat Suisse Delémont,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1997-04-26,Championnat Suisse Delémont,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1997-05-03,European Youth Cup - Bolzano (ITA) 1997,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1997-05-31,European Youth Cup - Dortmund (GER) 1997,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1997-06-14,Regionalwettkampf MAGNET-Niederwangen,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1997-06-22,"UIAA Masters - San Diego X-Games, USA 1997",IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1997-06-28,European Youth Cup - Chocen (CZE) 1997,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1997-07-26,UIAA Masters - Serre Chevalier 1997,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1997-08-06,6. Zürcher Unterländer Kletterwettkampf 97,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1997-08-06,6. Zürcher Unterländer Kletterwettkampf 97,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1997-08-23,European Youth Cup - Bern (SUI) 1997,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1997-08-30,Swiss Cup Giubiasco 97,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1997-09-04,UIAA Worldcup - Courmayeur 1997,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1997-09-12,UIAA Masters - Rock Masters Arco 1997,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1997-09-20,European Youth Cup - Parma (ITA) 1997,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1997-10-18,Swiss-Cup MAGNET Bern-Niederwangen 97,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1997-10-23,UIAA Worldcup - Prag 1997,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1997-11-08,UIAA Worldcup - Kranj 1997,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1997-11-13,UIAA Youth Worldchampionship - Imst (AUT) 1997,IFSC,World major youth,Youth,IFSC_WORLD_YOUTH,"direct Youth World evidence; transition context, not adult WC evidence",True,False
1997-11-21,UIAA Worldcup - Imst 1997,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1997-11-28,UIAA Worldcup - Birmingham 1997,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1998-02-13,Swiss Cup Genf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-02-13,Swiss Cup Genf,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1998-02-14,Coupe Genevoise,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-02-14,Coupe Genevoise,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1998-04-02,UIAA European Championship - Nürnberg (GER) 1998,IFSC,Continental championship,Senior / Open,IFSC_REG:EUROPE,direct IFSC regional/continental evidence,True,False
1998-05-15,Regionalwettkampf Schlieren,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-05-16,Open d'escalade jurassien des jeunes,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-05-16,Open d'escalade jurassien des jeunes,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1998-06-11,European Youth Cup - Dortmund (GER) 1998,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1998-07-03,European Youth Cup - Triest (ITA) 1998,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1998-07-10,European Youth Cup - Imst (AUT) 1998,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1998-07-11,Top Rock Challenge - Val d'Isere (FRA) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-07-15,UIAA Youth Worldchampionship - Moscow (RUS) 1998,IFSC,World major youth,Youth,IFSC_WORLD_YOUTH,"direct Youth World evidence; transition context, not adult WC evidence",True,False
1998-07-16,Top Rock Challenge - Chamonix (FRA) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-07-22,UIAA Masters - Serre Chevalier (FRA) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-07-31,UIAA Worldcup - Beauregard (ITA) 1998,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1998-08-06,Top Rock Challenge - Valloire (FRA) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-08-13,Top Rock Challenge - Cortina d'Ampezzo (ITA) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-08-21,Top Rock Challenge - Crans Montana (SUI) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-08-27,Top Rock Challenge - Grenoble (FRA) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-08-29,7. Zürcher Unterländer Kletterwettkampf 98,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-09-03,UIAA Worldcup - Courmayeur (ITA) 1998,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1998-09-11,UIAA Masters - Rock Masters Arco (ITA) 1998,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1998-09-12,Swiss Cup Giubiasco 98,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-09-12,Swiss Cup Giubiasco 98,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1998-09-25,Swiss Cup Schlieren 98,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-09-25,Swiss Cup Schlieren 98,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1998-10-03,Schweizer-Meisterschaft MAGNET Niederwangen 98,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-10-03,Schweizer-Meisterschaft MAGNET Niederwangen 98,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1998-10-08,UIAA Worldcup - Milan (ITA) 1998,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1998-10-16,Swiss Cup Meiringen 98,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1998-10-16,Swiss Cup Meiringen 98,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1998-10-30,European Youth Cup - Aix en Provence (FRA) 1998,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1998-11-13,UIAA Worldcup - Kranj (SLO) 1998,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1998-11-13,"Boulderwettkampf, Adliswil 98",SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-02-13,Klettercup Diemtigtal,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-02-13,Klettercup Diemtigtal,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-04-15,UIAA Worldcup - Wiener Neustadt (AUT) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-04-23,Swiss Cup Chur 1999,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-04-23,Swiss Cup Chur 1999,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-05-08,AGRS-Boulder Contest,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-05-27,UIAA Worldcup - Leipzig (GER) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-06-09,UIAA Worldcup - Besancon (FRA) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-06-11,Gaswerk-Cup Schlieren,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-06-11,Gaswerk-Cup Schlieren,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-07-02,UIAA Worldcup - Benasque (ESP) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-07-09,European Youth Cup - Imst (AUT) 1999,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1999-07-10,UIAA Worldcup - Val d'Isere (FRA) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-07-16,UIAA Worldcup - Chamonix (FRA) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-07-21,UIAA Masters - Serre-Chevalier (FRA) 1999,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1999-07-23,UIAA Worldcup - Beauregard (ITA) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-07-30,UIAA Worldcup - Bardonecchia (ITA) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-08-12,UIAA Worldcup - Cortina (ITA) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-08-13,European Youth Cup - Bern (SUI) 1999,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1999-08-27,UIAA Worldcup - Grenoble (FRA) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-08-28,Schweizer Meisterschaft Chiasso 99,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-08-28,Schweizer Meisterschaft Chiasso 99,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-09-02,UIAA Youth Worldchampionship - Courmayeur (ITA) 1999,IFSC,World major youth,Youth,IFSC_WORLD_YOUTH,"direct Youth World evidence; transition context, not adult WC evidence",True,False
1999-09-04,Zürcher Unterländer Regionalwettkampf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-09-09,Int. Event - Arco Rock Master (ITA) 1999,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1999-09-10,Aranea-Open Regionalwettkampf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-10-01,Swiss Cup Schlieren 99,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-10-01,Swiss Cup Schlieren 99,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-10-15,European Youth Cup - Albertville (FRA) 1999,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1999-10-22,Swiss Cup Meiringen 99,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-10-22,Swiss Cup Meiringen 99,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-10-29,Jugend- und Junioren-Cup Langnau 99,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-11-11,UIAA Worldcup - Kranj (SLO) 1999,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-11-14,Bouldercup Adliswil 15.11.99,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-11-20,Swisscup-Finale Bern 99,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1999-11-20,Swisscup-Finale Bern 99,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
1999-11-26,EuropeanYouth Cup - Amsterdam (NED) 1999,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
1999-12-02,UIAA World Championship - Birmingham (GBR) 1999,IFSC,World major,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1999-12-06,Int. Event - Sheffield (GBR) 1999,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2000-04-07,Swiss Cup - Genf 2000,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2000-04-07,Swiss Cup - Genf 2000,SAC-CAS,Regional / local youth,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2000-05-26,UIAA Worldcup - Konitsa (GRE) 2000,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2000-05-31,UIAA Worldcup - Millau (FRA) 2000,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2000-06-02,European Youth Cup - Imst (AUT) 2000,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
