session_task_order,review_wave,boulder_uid,event_date,event_name,round_group,gender,boulder_number,priority_rank,coaching_unlock_rank,coaching_unlock_source_items,coaching_unlock_athletes,coaching_unlock_observations,coaching_unlock_physical_observations,coaching_unlock_board_observations,priority_top_given_zone_pairs,priority_zone_pairs,requested_independent_reviewers,required_review_scope,task_status
1,A_same_tasks_independent_calibration,round-187ab0005c9261bc719f-b3,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Qualification,Men,3,20.0,1.0,2,8.0,145.0,103.0,42.0,2,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
19,B_high_unlock_extension,round-7d0d90cb6b769ea63b3d-b5,2026-03-21,Championnat Provincial D1 Bloc,Qualification,Men,5,57.0,19.0,2,7.0,184.0,132.0,52.0,0,4,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
20,B_high_unlock_extension,round-7d0d90cb6b769ea63b3d-b4,2026-03-21,Championnat Provincial D1 Bloc,Qualification,Men,4,89.0,20.0,2,7.0,184.0,132.0,52.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
21,B_high_unlock_extension,round-5e9d8fd80355cba78e28-b5,2026-01-24,Coupe QC D1 Bloc #2,Qualification,Men,5,10.0,21.0,2,7.0,170.0,123.0,47.0,4,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
22,B_high_unlock_extension,round-5e9d8fd80355cba78e28-b1,2026-01-24,Coupe QC D1 Bloc #2,Qualification,Men,1,58.0,22.0,2,7.0,170.0,123.0,47.0,0,4,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
23,B_high_unlock_extension,round-5e9d8fd80355cba78e28-b2,2026-01-24,Coupe QC D1 Bloc #2,Qualification,Men,2,90.0,23.0,2,7.0,170.0,123.0,47.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
24,B_high_unlock_extension,round-5e9d8fd80355cba78e28-b3,2026-01-24,Coupe QC D1 Bloc #2,Qualification,Men,3,91.0,24.0,2,7.0,170.0,123.0,47.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
25,B_high_unlock_extension,round-5e9d8fd80355cba78e28-b4,2026-01-24,Coupe QC D1 Bloc #2,Qualification,Men,4,92.0,25.0,2,7.0,170.0,123.0,47.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
26,B_high_unlock_extension,round-380f56da81f04bb04094-b2,2025-12-11,Sélection Provinciale Séniore BLOC,Qualification,Men,2,7.0,26.0,1,6.0,208.0,152.0,56.0,5,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
27,B_high_unlock_extension,round-380f56da81f04bb04094-b4,2025-12-11,Sélection Provinciale Séniore BLOC,Qualification,Men,4,8.0,27.0,1,6.0,208.0,152.0,56.0,5,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
28,B_high_unlock_extension,round-380f56da81f04bb04094-b5,2025-12-11,Sélection Provinciale Séniore BLOC,Qualification,Men,5,15.0,28.0,1,6.0,208.0,152.0,56.0,3,8,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
29,B_high_unlock_extension,round-380f56da81f04bb04094-b3,2025-12-11,Sélection Provinciale Séniore BLOC,Qualification,Men,3,51.0,29.0,1,6.0,208.0,152.0,56.0,0,8,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
30,B_high_unlock_extension,round-380f56da81f04bb04094-b1,2025-12-11,Sélection Provinciale Séniore BLOC,Qualification,Men,1,83.0,30.0,1,6.0,208.0,152.0,56.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
